A	AK	Alaska
b	AL	Alabama
a	AR	Arkansas
z	AZ	Arizona
c	CA	California
C	CO	Colorado
U	CT	Connecticut
e	DE	Delaware
f	FL	Florida
g	GA	Georgia
H	HI	Hawaii
I	IA	Iowa
h	ID	Idaho
l	IL	Illinois
i	IN	Indiana
K	KS	Kansas
k	KY	Kentucky
L	LA	Louisiana
M	MA	Massachusetts
Y	MD	Maryland
E	ME	Maine
m	MI	Michigan
N	MN	Minnesota
Z	MO	Missouri
S	MS	Mississippi
T	MT	Montana
n	NC	North Carolina
d	ND	North Dakota
B	NE	Nebraska
P	NH	New Hampshire
j	NJ	New Jersey
X	NM	New Mexico
V	NV	Nevada
y	NY	New York
o	OH	Ohio
O	OK	Oklahoma
r	OR	Oregon
p	PA	Pennsylvania
R	RI	Rhode Island
s	SC	South Carolina
D	SD	South Dakota
t	TN	Tennessee
x	TX	Texas
u	UT	Utah
v	VA	Virginia
F	VT	Vermont
w	WA	Washington
W	WI	Wisconsin
J	WV	West Virginia
G	WY	Wyoming
q	DC	District of Columbia
